station_name,station_label,distribution,return_period_years,original_estimate,bootstrap_mean,bootstrap_std,percentile_2_5,percentile_50,percentile_97_5,successful_bootstrap_fits,failed_bootstrap_fits
萡子寮潮位站,Boziliao,Lognormal,20,2.5404805957803327,2.5211146238103965,0.06974799101320191,2.389920033221142,2.5189758535593176,2.6537107009386167,1000,0
萡子寮潮位站,Boziliao,Lognormal,50,2.631894139192669,2.607482805832118,0.08402462866400898,2.451134182160728,2.607233303407318,2.770945239556234,1000,0
萡子寮潮位站,Boziliao,Lognormal,100,2.694657168693188,2.666753903338098,0.0947016256052529,2.4903242164182884,2.6669979882414223,2.8498470683031965,1000,0
麥寮潮位站,Mailiao,Gumbel,2,2.5770355926308945,2.580397792460173,0.052552757477187434,2.490854302298733,2.5777302878428,2.6934628499553432,1000,0
麥寮潮位站,Mailiao,Gumbel,5,2.767326031835033,2.772080670586191,0.10362604392773954,2.617647858192661,2.7600527567762727,2.999445317661754,1000,0
麥寮潮位站,Mailiao,Gumbel,10,2.893314860305627,2.8989914147831777,0.13983980250076558,2.699408053109554,2.880378569592116,3.203743786044056,1000,0
麥寮潮位站,Mailiao,Gumbel,20,3.0141663693835445,3.020727247559709,0.17509808654648756,2.774090266372651,2.9976580920170663,3.4044888946054708,1000,0
麥寮潮位站,Mailiao,Gumbel,50,3.170596251635991,3.1783017961312012,0.2210908578369289,2.8711455252711016,3.1512123762530706,3.658283530133367,1000,0
麥寮潮位站,Mailiao,Gumbel,100,3.287818435370951,3.2963817461933758,0.25569926236192775,2.942140797017262,3.266380544187842,3.8549339298932375,1000,0
麥寮潮位站,Mailiao,GEV,2,2.548870900618491,2.55590016302429,0.04813136386285944,2.446036917081021,2.5594502063665714,2.641036289983854,1000,0
麥寮潮位站,Mailiao,GEV,5,2.756565212810113,22.537462706455415,241.58836963252355,2.6203188572333014,2.751300543822168,3.1832142678394835,1000,0
麥寮潮位站,Mailiao,GEV,10,2.9292782421987935,15656.414639781373,277640.76319718215,2.6740902402972964,2.9253701023436065,4.042078229782043,1000,0
麥寮潮位站,Mailiao,GEV,20,3.1274562456077932,13048596.85502927,295394354.21369904,2.704726261015699,3.119513808045305,5.806577085215451,1000,0
麥寮潮位站,Mailiao,GEV,50,3.4414781538379833,97779100860.61024,2610542084031.8003,2.729102230210884,3.42176025330801,10.57537411920218,1000,0
麥寮潮位站,Mailiao,GEV,100,3.728263097572553,84093451328526.11,2392143222176251.5,2.738497871136813,3.6897722970120004,18.002416943501665,1000,0
麥寮潮位站,Mailiao,Lognormal,2,2.6108032241496852,2.613510468757737,0.06313873097934486,2.5111801100154643,2.6082418349640397,2.750294663679365,1000,0
麥寮潮位站,Mailiao,Lognormal,5,2.856717952910318,2.844553420119738,0.15425244620151748,2.6196203937052416,2.851870803081924,3.140896647310273,1000,0
麥寮潮位站,Mailiao,Lognormal,10,2.994346708474321,2.974590499395374,0.2107778483981688,2.6753760156567767,2.9898085694287255,3.3671788641007305,1000,0
麥寮潮位站,Mailiao,Lognormal,20,3.1129878812363434,3.087117179518589,0.2615425510707292,2.72219996614302,3.106116826102249,3.5678925800092904,1000,0
麥寮潮位站,Mailiao,Lognormal,50,3.252150054817372,3.219620193659063,0.32322361788096254,2.7725474893690367,3.2438471896934473,3.8075463408034866,1000,0
麥寮潮位站,Mailiao,Lognormal,100,3.34836482473693,3.3115572125833292,0.3671337974011976,2.806913416136329,3.3394710098219433,3.983159842713354,1000,0
